act_name,section,description,notes
Specific Relief Act,5,"Recovery of specific immovable property. A person entitled to the possession of specific immovable property may recover it in the manner provided by the Code of Civil Procedure, 1908.",possession
Specific Relief Act,6,"Suit by person dispossessed of immovable property. If any person is dispossessed without his consent of immovable property otherwise than in due course of law, he or any person claiming through him may, by suit, recover possession thereof.",possession
Specific Relief Act,10,"Specific performance in respect of contracts. The specific performance of a contract shall be enforced by the court subject to the provisions contained in sub-section (2) of section 11, section 14 and section 16.",performance
Specific Relief Act,14,"Contracts not specifically enforceable. (a) where a party to the contract has obtained substituted performance of contract in accordance with the provisions of section 20; (b) a contract, the performance of which involves the performance of a continuous duty which the court cannot supervise; (c) a contract which is so dependent on the personal qualifications of the parties that the court cannot enforce specific performance of its material terms; and (d) a contract which is in its nature determinable.",performance
Specific Relief Act,20,"Substituted performance of contract. Where the contract is broken due to non-performance of promise by any party, the party who suffers by such breach shall have the option of substituted performance through a third party or by his own agency, and, recover the expenses and other costs actually incurred, spent or suffered by him, from the party committing such breach.",remedy
Specific Relief Act,34,"Discretion of court as to declaration of status or right. Any person entitled to any legal character, or to any right as to any property, may institute a suit against any person denying... his title to such character or right, and the court may in its discretion make therein a declaration that he is so entitled.",declaration
Specific Relief Act,38,"Perpetual injunction when granted. Subject to the other provisions contained in or referred to by this Chapter, a perpetual injunction may be granted to the plaintiff to prevent the breach of an obligation existing in his favour, whether expressly or by implication.",injunction
Specific Relief Act,41,"Injunction when refused. An injunction cannot be granted— (a) to restrain any person from prosecuting a judicial proceeding pending at the institution of the suit in which the injunction is sought, unless such restraint is necessary to prevent a multiplicity of proceedings...",injunction
