act_name,section,description,notes
Arbitration and Conciliation Act,7,"Arbitration agreement. 'Arbitration agreement' means an agreement by the parties to submit to arbitration all or certain disputes which have arisen or which may arise between them in respect of a defined legal relationship, whether contractual or not.",agreement
Arbitration and Conciliation Act,8,"Power to refer parties to arbitration where there is an arbitration agreement. A judicial authority, before which an action is brought in a matter which is the subject of an arbitration agreement shall, if a party to the arbitration agreement or any person claiming through or under him, so applies not later than the date of submitting his first statement on the substance of the dispute, refer the parties to arbitration unless it finds that prima facie no valid arbitration agreement exists.",referral
Arbitration and Conciliation Act,9,"Interim measures, etc., by Court. A party may, before or during arbitral proceedings or at any time after the making of the arbitral award but before it is enforced... apply to a court for an interim measure of protection.",interim
Arbitration and Conciliation Act,11,"Appointment of arbitrators. (6) Where... (a) a party fails to act as required under that procedure; or (b) the parties, or the two appointed arbitrators, fail to reach an agreement expected of them under that procedure... a party may request the Supreme Court or, as the case may be, the High Court or any person or institution designated by such Court to take the necessary measure.",appointment
Arbitration and Conciliation Act,34,"Application for setting aside arbitral award. Recourse to a Court against an arbitral award may be made only by an application for setting aside such award in accordance with sub-section (2) and sub-section (3). grounds: incapacity, invalid agreement, lack of notice, dispute beyond scope, etc.",challenge
Arbitration and Conciliation Act,36,"Enforcement. Where the time for making an application to set aside the arbitral award under section 34 has expired... the award shall be enforced in accordance with the provisions of the Code of Civil Procedure, 1908, in the same manner as if it were a decree of the court.",enforcement
